swift_code,id,bank,city,branch
ACSAHNT1,1,AMERICA CDC CASA DE CAMBIO S.A.DE C.F.,SAN PEDRO SULA,None
ARCDHNT1,2,ARRENDAMIENTOS Y CREDITOS ATLANTIDA, S.A.,TEGUCIGALPA,None
ATTDHNTE,3,BANCO ATLANTIDA,TEGUCIGALPA,None
AZTKHNTE,4,BANCO AZTECA DE HONDURAS, SA,TEGUCIGALPA,None
BCEHHNTE,5,BANCO CENTRAL DE HONDURAS,TEGUCIGALPA,None
BCEHHNTT,6,BANCO CENTRAL DE HONDURAS BANCO CENTRAL,TEGUCIGALPA,None
BCIEHNTE,7,BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA,TEGUCIGALPA,None
BACUHNT1,8,BANCO CUSCATLAN DE HONDURAS,TEGUCIGALPA,None
BGAHHNTE,9,BANCO DAVIVIENDA HONDURAS, S.A.,TEGUCIGALPA,None
BMILHNTE,10,BANCO DE AMERICA CENTRAL HONDURAS, S.A.(BAC BAMER),TEGUCIGALPA,None
PRCBHNTE,11,BANCO DE DESARROLLO RURAL HONDURAS, S.A.,TEGUCIGALPA,None
HONAHNT2,12,BANCO DE HONDURAS, S.A.,TEGUCIGALPA,None
BLFAHNT1,13,BANCO DE LAS FUERZAS ARMADAS,TEGUCIGALPA,None
TSBOHNTA,14,BANCO DE LOS TRABAJADORES,TEGUCIGALPA,None
BOCCHNTESPS,15,BANCO DE OCCIDENTE S.A.,SAN PEDRO SULA,(SAN PEDRO SULA)
BOCCHNTE,16,BANCO DE OCCIDENTE S.A.,SAN PEDRO SULA,None
BOCCHNTESRC,17,BANCO DE OCCIDENTE S.A.,SANTA ROSA DE COPAN,(SANTA ROSA DE COPAN)
BOCCHNTETGU,18,BANCO DE OCCIDENTE S.A.,TEGUCIGALPA,(TEGUCIGALPA)
PISAHNTE,19,BANCO DEL PAIS,S.A.,SAN PEDRO SULA,None
FIHOHNT1,20,BANCO FICOHSA,TEGUCIGALPA,None
CABFHNTE,21,BANCO FINANCIERA CENTROAMERICANA S.A. FICENSA,TEGUCIGALPA,None
FCOHHNTE,22,BANCO FINANCIERA COMERCIAL HONDURENA S.A. (BANCO FICOHSA),TEGUCIGALPA,None
BCHOHNT1,23,BANCO GRUPO EL AHORRO HONDURENO S.A.,TEGUCIGALPA,None
BHCAHNTH,24,BANCO HONDURENO DEL CAFE,TEGUCIGALPA,None
BHCAHNT1,25,BANCO HONDURENO DEL CAFE S.A.,TEGUCIGALPA,None
HOPVHNT1,26,BANCO HONDURENO PARA LA PRODUCCION Y LA VIVIENDA,TEGUCIGALPA,None
BCCEHNTE,27,BANCO LAFISE (HONDURAS), S.A.,TEGUCIGALPA,None
BMAUHNT1,28,BANCO MUNICIPAL AUTONOMO,TEGUCIGALPA,None
DEAGHNT1,29,BANCO NACIONAL DE DESARROLLO AGRICOLA,COMAYAGUELA,None
DEAGHNT1022,30,BANCO NACIONAL DE DESARROLLO AGRICOLA,COMAYAGUELA,None
POUUHNT1,31,BANCO POPULAR S.A.,TEGUCIGALPA,None
BPRHHNTE,32,BANCO PROMERICA, S.A.,TEGUCIGALPA,None
SOGBHNT1,33,BANCO SOGERIN S.A.,SAN PEDRO SULA,None
BATSHN31,34,BRITISH AMERICAN TOBACCO CENTRAL AMERICA S.A., SUCURSAL HONDURAS,SAN PEDRO SULA,None
CBVCHNT1,35,CASA DE BOLSA DE VALORES S.A. (CABVAL),TEGUCIGALPA,None
CSAIHNT1,36,CASA DE CAMBIO,TEGUCIGALPA,None
CCRVHNT1,37,CASA DE CAMBIO ROBLE VIEJO S.A.,TEGUCIGALPA,None
CBPNHNT1,38,CASA DEL BOLSA PROMOCIONES E INVERSIONES EN BOLSA, S.A.,SAN PEDRO SULA,None
CHVLHNT1,39,CENTRAL HONDURENA DE VALORES Y LIQUIDACION (CEHVAL),SAN PEDRO SULA,None
CFNCHNT1,40,COMPANIA FINANCIERA, S.A. COFISA,SAN PEDRO SULA,None
CNCSHNT1,41,CONTINENTAL CASA DE BOLSA, S.A,SAN PEDRO SULA,None
CFNIHNT1,42,CORPORACION FINANCIERA INTERNACIONAL (COFINTER),TEGUCIGALPA,None
FCEOHNT1,43,FINANCIERA CODIMERSA EDIFICIO CODIMERSA,SANTA ROSA,None
FIRQHNT1,44,FINANCIERA CREDIQ SA,TEGUCIGALPA,None
FIFHHNT1,45,FINANCIERA FINCA HONDURAS,TEGUCIGALPA,None
FIODHNT1,46,FINANCIERA SOLIDARIA, S.A.,SAN PEDRO SULA,None
FFCBHNT1,47,FOMENTO FINANCIERO, S.A. CASA DE BOLSA,TEGUCIGALPA,None
LVCBHNT1,48,LAFISE VALORES CASA DE BOLSA,TEGUCIGALPA,None
ODFIHNT1,49,ODEF FINANCIERA S.A.,SAN PEDRO SULA,None
SEAIHNT1,50,SERVIGIROS CASA DE CAMBIO S.A.,TEGUCIGALPA,None
SOABHNT1,51,SONIVAL, CASA DE BOLSA, S. A,TEGUCIGALPA,None
BATSHNT1,52,TABACALERA HONDURENA S.A.,CORTES,None
BATSHN41,53,TABACALERA ISTMENA S.A,SAN PEDRO SULA,None
