swift_code,id,bank,city,branch
HAABMEPG,1,ADDIKO BANK A.D. PODGORICA,PODGORICA,None
ATLMMEP2,2,ATLAS BANKA AD,PODGORICA,None
CBCGMEB1,3,CENTRAL BANK OF MONTENEGRO,PODGORICA,None
CBCGMEPG,4,CENTRALNA BANKA CRNE GORE (CENTRAL BANK OF MONTENEGRO),PODGORICA,None
CKBCMEPG,5,CRNOGORSKA KOMERCIJALNA BANKA AD PODGORICA,PODGORICA,None
OPPOMEPG,6,ERSTE BANK AD PODGORICA,PODGORICA,None
HBBAMEPG,7,HIPOTEKARNA BANKA AD,PODGORICA,None
IBDOMEP1,8,IBANKMENT DOO,PODGORICA,None
IBMNMEPG,9,INVEST BANKA MONTENEGRO AD PODGORICA (FORMALY PLJEVALJSKA BANKA),PODGORICA,None
KOBBMEP2,10,KOMERCIJALNA BANKA AD BUDVA,BUDVA,None
LOVBMEPG,11,LOVCEN BANKA AD,PODGORICA,None
MNBAMEPG,12,NLB BANKA AD PODGORICA,PODGORICA,None
AZMNMEPG,13,NOVA BANKA AD PODGORICA,PODGORICA,None
PRVAMEPG,14,PRVA BANKA CRNE GORE AD,PODGORICA,None
PDBPMEPG,15,SOCIETE GENERALE BANKA MONTENEGRO,PODGORICA,None
FFBMMEPG,16,UNIVERSAL CAPITAL BANK,PODGORICA,None
ZBCGMEPG,17,ZAPAD BANKA AD PODGORICA,PODGORICA,None
TCZBMEPG,18,ZIRAAT BANK MONTENEGRO,PODGORICA,None
